source,target,value,label,color
10,21,1,Awilda Frasier,#95c5df
21,32,1,Awilda Frasier,#95c5df
4,19,1,Jay Brooks,#8dc1dd
19,20,1,Jay Brooks,#8dc1dd
20,21,1,Jay Brooks,#8dc1dd
21,26,1,Jay Brooks,#8dc1dd
11,19,1,Tommy Gomez,#85bcdc
19,20,1,Tommy Gomez,#85bcdc
20,21,1,Tommy Gomez,#85bcdc
21,33,1,Tommy Gomez,#85bcdc
6,15,1,Umberto Canto,#7fb9da
15,16,1,Umberto Canto,#7fb9da
16,17,1,Umberto Canto,#7fb9da
17,18,1,Umberto Canto,#7fb9da
18,19,1,Umberto Canto,#7fb9da
19,20,1,Umberto Canto,#7fb9da
20,21,1,Umberto Canto,#7fb9da
21,28,1,Umberto Canto,#7fb9da
0,13,1,Vanoye Aikens,#77b5d9
13,14,1,Vanoye Aikens,#77b5d9
14,15,1,Vanoye Aikens,#77b5d9
15,16,1,Vanoye Aikens,#77b5d9
16,17,1,Vanoye Aikens,#77b5d9
17,18,1,Vanoye Aikens,#77b5d9
18,19,1,Vanoye Aikens,#77b5d9
19,20,1,Vanoye Aikens,#77b5d9
20,21,1,Vanoye Aikens,#77b5d9
21,22,1,Vanoye Aikens,#77b5d9
1,13,1,James Alexander,#6fb0d7
13,14,1,James Alexander,#6fb0d7
14,15,1,James Alexander,#6fb0d7
15,16,1,James Alexander,#6fb0d7
16,17,1,James Alexander,#6fb0d7
17,18,1,James Alexander,#6fb0d7
18,19,1,James Alexander,#6fb0d7
19,20,1,James Alexander,#6fb0d7
20,21,1,James Alexander,#6fb0d7
21,23,1,James Alexander,#6fb0d7
2,13,1,Ronnie Aul,#68acd5
13,14,1,Ronnie Aul,#68acd5
14,15,1,Ronnie Aul,#68acd5
15,16,1,Ronnie Aul,#68acd5
16,17,1,Ronnie Aul,#68acd5
17,18,1,Ronnie Aul,#68acd5
18,24,1,Ronnie Aul,#68acd5
3,13,1,Wilbert Bradley,#61a7d2
13,14,1,Wilbert Bradley,#61a7d2
14,15,1,Wilbert Bradley,#61a7d2
15,16,1,Wilbert Bradley,#61a7d2
16,18,1,Wilbert Bradley,#61a7d2
18,19,1,Wilbert Bradley,#61a7d2
19,20,1,Wilbert Bradley,#61a7d2
20,21,1,Wilbert Bradley,#61a7d2
21,25,1,Wilbert Bradley,#61a7d2
5,13,1,Miriam Burton,#5ba3d0
13,14,1,Miriam Burton,#5ba3d0
14,27,1,Miriam Burton,#5ba3d0
8,13,1,Jean Leon Destine,#56a0ce
13,14,1,Jean Leon Destine,#56a0ce
14,15,1,Jean Leon Destine,#56a0ce
15,16,1,Jean Leon Destine,#56a0ce
16,17,1,Jean Leon Destine,#56a0ce
17,18,1,Jean Leon Destine,#56a0ce
18,30,1,Jean Leon Destine,#56a0ce
9,13,1,Lucille Ellis,#4f9bcb
13,14,1,Lucille Ellis,#4f9bcb
14,15,1,Lucille Ellis,#4f9bcb
15,16,1,Lucille Ellis,#4f9bcb
16,17,1,Lucille Ellis,#4f9bcb
17,18,1,Lucille Ellis,#4f9bcb
18,19,1,Lucille Ellis,#4f9bcb
19,20,1,Lucille Ellis,#4f9bcb
20,21,1,Lucille Ellis,#4f9bcb
21,31,1,Lucille Ellis,#4f9bcb
7,12,1,Eddy Clay,#4997c9
12,13,1,Eddy Clay,#4997c9
13,14,1,Eddy Clay,#4997c9
14,19,1,Eddy Clay,#4997c9
19,20,1,Eddy Clay,#4997c9
20,21,1,Eddy Clay,#4997c9
21,29,1,Eddy Clay,#4997c9
